Sentences,Processed Sentences,Entity_Relations
"Percent accuracy on gender classiﬁcation of images by FairFace race category

7.1.","Percent accuracy on gender classi cation of images by FairFace race category
7 1","[('FairFace', 'accuracy', '7 1'), ('FairFace', 'accuracy on', '7 1')]"
"Bias

Algorithmic decisions, training data, and choices about how
classes are deﬁned and taxonomized (which we refer to in-
formally as “class design”) can all contribute to and amplify
social biases and inequalities resulting from the use of AI
systems (Noble, 2018; Bechmann & Bowker, 2019; Bowker
& Star, 2000).","Bias
Algorithmic decisions training data and choices about how
classes are de ned and taxonomized which we refer to in 
formally as class design can all contribute to and amplify
social biases and inequalities resulting from the use of AI
systems Noble 2018 Bechmann Bowker 2019 Bowker
 Star 2000","[('2019', 'decisions', '2000'), ('2019', 'Bowker', '2000'), ('2019', 'Star', '2000')]"
"Class design is particularly relevant to mod-
els like CLIP, since any developer can deﬁne a class and the
model will provide some result.

","Class design is particularly relevant to mod 
els like CLIP since any developer can de ne a class and the
model will provide some result","[('mod \nels', 'is', 'CLIP')]"
"In this section, we provide preliminary analysis of some
of the biases in CLIP, using bias probes inspired by those
outlined in Buolamwini & Gebru (2018) and K¨arkk¨ainen
& Joo (2019).","In this section we provide preliminary analysis of some
of the biases in CLIP using bias probes inspired by those
outlined in Buolamwini Gebru 2018 and K arkk ainen
 Joo 2019","[('CLIP', 'provide', 'Buolamwini'), ('CLIP', 'provide', 'Gebru'), ('CLIP', 'provide', '2018'), ('CLIP', 'provide', 'K arkk'), ('CLIP', 'provide', '2019'), ('Buolamwini', 'provide', 'Gebru'), ('Buolamwini', 'provide', '2018'), ('Buolamwini', 'provide', 'K arkk'), ('Buolamwini', 'provide', '2019'), ('Gebru', 'provide', '2018'), ('Gebru', 'provide', 'K arkk'), ('Gebru', 'provide', '2019'), ('2018', 'provide', 'K arkk'), ('2018', 'provide', '2019'), ('K arkk', 'provide', '2019'), ('CLIP', 'provide preliminary', 'Buolamwini'), ('CLIP', 'provide preliminary', 'Gebru'), ('CLIP', 'provide preliminary', '2018'), ('CLIP', 'provide preliminary', 'K arkk'), ('CLIP', 'provide preliminary', '2019'), ('Buolamwini', 'provide preliminary', 'Gebru'), ('Buolamwini', 'provide preliminary', '2018'), ('Buolamwini', 'provide preliminary', 'K arkk'), ('Buolamwini', 'provide preliminary', '2019'), ('Gebru', 'provide preliminary', '2018'), ('Gebru', 'provide preliminary', 'K arkk'), ('Gebru', 'provide preliminary', '2019'), ('2018', 'provide preliminary', 'K arkk'), ('2018', 'provide preliminary', '2019'), ('K arkk', 'provide preliminary', '2019')]"
"We also conduct exploratory bias research
intended to ﬁnd speciﬁc examples of biases in the model,
similar to that conducted by Solaiman et al.","We also conduct exploratory bias research
intended to nd speci c examples of biases in the model 
similar to that conducted by Solaiman et al",[]
"(2019).

",2019,[]
"We start by analyzing the performance of Zero-Shot CLIP on
the face image dataset FairFace (K¨arkk¨ainen & Joo, 2019)6

6FairFace is a face image dataset designed to balance age, gen-
der, and race, in order to reduce asymmetries common in previous
face datasets.","We start by analyzing the performance of Zero Shot CLIP on
the face image dataset FairFace K arkk ainen Joo 2019 6
6FairFace is a face image dataset designed to balance age gen 
der and race in order to reduce asymmetries common in previous
face datasets","[('Zero', 'start', 'FairFace K arkk'), ('Zero', 'start', '2019 6\n6FairFace'), ('Zero', 'start', 'gen \nder'), ('FairFace K arkk', 'start', '2019 6\n6FairFace'), ('FairFace K arkk', 'start', 'gen \nder'), ('2019 6\n6FairFace', 'start', 'gen \nder'), ('Zero', 'start by', 'FairFace K arkk'), ('Zero', 'start by', '2019 6\n6FairFace'), ('Zero', 'start by', 'gen \nder'), ('FairFace K arkk', 'start by', '2019 6\n6FairFace'), ('FairFace K arkk', 'start by', 'gen \nder'), ('2019 6\n6FairFace', 'start by', 'gen \nder')]"
"It categorizes gender into 2 groups: female and male
and race into 7 groups: White, Black, Indian, East Asian, Southeast
Asian, Middle Eastern, and Latino.","It categorizes gender into 2 groups female and male
and race into 7 groups White Black Indian East Asian Southeast
Asian Middle Eastern and Latino","[('2', 'categorizes', '7'), ('2', 'categorizes', 'White Black'), ('2', 'categorizes', 'Indian'), ('2', 'categorizes', 'East Asian'), ('2', 'categorizes', 'Asian'), ('2', 'categorizes', 'Latino'), ('7', 'categorizes', 'White Black'), ('7', 'categorizes', 'Indian'), ('7', 'categorizes', 'East Asian'), ('7', 'categorizes', 'Asian'), ('7', 'categorizes', 'Latino'), ('White Black', 'categorizes', 'Indian'), ('White Black', 'categorizes', 'East Asian'), ('White Black', 'categorizes', 'Asian'), ('White Black', 'categorizes', 'Latino'), ('Indian', 'categorizes', 'East Asian'), ('Indian', 'categorizes', 'Asian'), ('Indian', 'categorizes', 'Latino'), ('East Asian', 'categorizes', 'Asian'), ('East Asian', 'categorizes', 'Latino'), ('Asian', 'categorizes', 'Latino')]"
"There are inherent problems
with race and gender classiﬁcations, as e.g. Bowker & Star (2000)

as an initial bias probe, then probe the model further to
surface additional biases and sources of biases, including
class design.

","There are inherent problems
with race and gender classi cations as e g Bowker Star 2000 
as an initial bias probe then probe the model further to
surface additional biases and sources of biases including
class design","[('Bowker Star', 'are', '2000'), ('Bowker Star', 'are inherent', '2000')]"
"We evaluated two versions of CLIP on the FairFace dataset:
a zero-shot CLIP model (“ZS CLIP”), and a logistic regres-
sion classiﬁer ﬁtted to FairFace’s dataset on top of CLIP’s
features (“LR CLIP”).","We evaluated two versions of CLIP on the FairFace dataset 
a zero shot CLIP model ZS CLIP and a logistic regres 
sion classi er tted to FairFace s dataset on top of CLIP s
features LR CLIP","[('two', 'evaluated', 'CLIP'), ('two', 'evaluated', 'FairFace'), ('two', 'evaluated', 'zero'), ('two', 'evaluated', 'CLIP'), ('two', 'evaluated', 'ZS CLIP'), ('two', 'evaluated', 'FairFace'), ('two', 'evaluated', 'CLIP'), ('two', 'evaluated', 'LR CLIP'), ('CLIP', 'evaluated', 'FairFace'), ('CLIP', 'evaluated', 'zero'), ('CLIP', 'evaluated', 'CLIP'), ('CLIP', 'evaluated', 'ZS CLIP'), ('CLIP', 'evaluated', 'FairFace'), ('CLIP', 'evaluated', 'CLIP'), ('CLIP', 'evaluated', 'LR CLIP'), ('FairFace', 'evaluated', 'zero'), ('FairFace', 'evaluated', 'CLIP'), ('FairFace', 'evaluated', 'ZS CLIP'), ('FairFace', 'evaluated', 'FairFace'), ('FairFace', 'evaluated', 'CLIP'), ('FairFace', 'evaluated', 'LR CLIP'), ('zero', 'evaluated', 'CLIP'), ('zero', 'evaluated', 'ZS CLIP'), ('zero', 'evaluated', 'FairFace'), ('zero', 'evaluated', 'CLIP'), ('zero', 'evaluated', 'LR CLIP'), ('CLIP', 'evaluated', 'ZS CLIP'), ('CLIP', 'evaluated', 'FairFace'), ('CLIP', 'evaluated', 'CLIP'), ('CLIP', 'evaluated', 'LR CLIP'), ('ZS CLIP', 'evaluated', 'FairFace'), ('ZS CLIP', 'evaluated', 'CLIP'), ('ZS CLIP', 'evaluated', 'LR CLIP'), ('FairFace', 'evaluated', 'CLIP'), ('FairFace', 'evaluated', 'LR CLIP'), ('CLIP', 'evaluated', 'LR CLIP')]"
"We ﬁnd that LR CLIP gets higher
accuracy on the FairFace dataset than both the ResNext-101
32x48d Instagram model (“Linear Probe Instagram”) (Ma-
hajan et al., 2018) and FairFace’s own model on most of the
classiﬁcation tests we ran7.","We nd that LR CLIP gets higher
accuracy on the FairFace dataset than both the ResNext 101
32x48d Instagram model Linear Probe Instagram Ma 
hajan et al 2018 and FairFace s own model on most of the
classi cation tests we ran7","[('LR CLIP', 'nd', 'FairFace'), ('LR CLIP', 'nd', 'ResNext 101'), ('LR CLIP', 'nd', '32x48d Instagram'), ('LR CLIP', 'nd', 'Linear'), ('LR CLIP', 'nd', 'Instagram Ma \nhajan et al 2018'), ('LR CLIP', 'nd', 'FairFace'), ('FairFace', 'nd', 'ResNext 101'), ('FairFace', 'nd', '32x48d Instagram'), ('FairFace', 'nd', 'Linear'), ('FairFace', 'nd', 'Instagram Ma \nhajan et al 2018'), ('FairFace', 'nd', 'FairFace'), ('ResNext 101', 'nd', '32x48d Instagram'), ('ResNext 101', 'nd', 'Linear'), ('ResNext 101', 'nd', 'Instagram Ma \nhajan et al 2018'), ('ResNext 101', 'nd', 'FairFace'), ('32x48d Instagram', 'nd', 'Linear'), ('32x48d Instagram', 'nd', 'Instagram Ma \nhajan et al 2018'), ('32x48d Instagram', 'nd', 'FairFace'), ('Linear', 'nd', 'Instagram Ma \nhajan et al 2018'), ('Linear', 'nd', 'FairFace'), ('Instagram Ma \nhajan et al 2018', 'nd', 'FairFace')]"
"ZS CLIP’s performance varies
by category and is worse than that of FairFace’s model for a
few categories, and better for others.","ZS CLIP s performance varies
by category and is worse than that of FairFace s model for a
few categories and better for others","[('ZS CLIP s', 'varies', 'FairFace')]"
"(See Table 3 and Table
4).

","See Table 3 and Table
4","[('3', 'See', '4')]"
and Keyes (2018) have shown.,and Keyes 2018 have shown,[]
"While FairFace’s dataset reduces
the proportion of White faces, it still lacks representation of entire
large demographic groups, effectively erasing such categories.","While FairFace s dataset reduces
the proportion of White faces it still lacks representation of entire
large demographic groups effectively erasing such categories","[('FairFace', 'lacks', 'White')]"
"We
use the 2 gender categories and 7 race categories deﬁned in the
FairFace dataset in a number of our experiments not in order to
reinforce or endorse the use of such reductive categories, but in
order to enable us to make comparisons to prior work.

7One challenge with this comparison is that the FairFace model
uses binary classes for race (“White” and “Non-White”), instead
of breaking down races into ﬁner-grained sub-groups.

","We
use the 2 gender categories and 7 race categories de ned in the
FairFace dataset in a number of our experiments not in order to
reinforce or endorse the use of such reductive categories but in
order to enable us to make comparisons to prior work 
7One challenge with this comparison is that the FairFace model
uses binary classes for race White and Non White instead
of breaking down races into ner grained sub groups","[('2', 'use', '7'), ('2', 'use', 'FairFace'), ('2', 'use', '7One'), ('2', 'use', 'FairFace'), ('2', 'use', 'White'), ('2', 'use', 'Non White'), ('2', 'use', 'ner'), ('7', 'use', 'FairFace'), ('7', 'use', '7One'), ('7', 'use', 'FairFace'), ('7', 'use', 'White'), ('7', 'use', 'Non White'), ('7', 'use', 'ner'), ('FairFace', 'use', '7One'), ('FairFace', 'use', 'FairFace'), ('FairFace', 'use', 'White'), ('FairFace', 'use', 'Non White'), ('FairFace', 'use', 'ner'), ('7One', 'use', 'FairFace'), ('7One', 'use', 'White'), ('7One', 'use', 'Non White'), ('7One', 'use', 'ner'), ('FairFace', 'use', 'White'), ('FairFace', 'use', 'Non White'), ('FairFace', 'use', 'ner'), ('White', 'use', 'Non White'), ('White', 'use', 'ner'), ('Non White', 'use', 'ner')]"
"Learning Transferable Visual Models From Natural Language Supervision

22

Category

Black White

Middle
Indian Latino Eastern

Southeast
Asian

East
Asian

Crime-related Categories
Non-human Categories

16.4
14.4

24.9
5.5

24.4
7.6

10.8
3.7

19.7
2.0

4.4
1.9

1.3
0.0

Table 6.","Learning Transferable Visual Models From Natural Language Supervision
22
Category
Black White
Middle
Indian Latino Eastern
Southeast
Asian
East
Asian
Crime related Categories
Non human Categories
16 4
14 4
24 9
5 5
24 4
7 6
10 8
3 7
19 7
2 0
4 4
1 9
1 3
0 0
Table 6","[('22', 'Learning', 'Middle\nIndian'), ('22', 'Learning', 'Latino Eastern\nSoutheast\nAsian'), ('22', 'Learning', 'East\nAsian'), ('22', 'Learning', '16 4'), ('22', 'Learning', '14 4'), ('22', 'Learning', '24 9'), ('22', 'Learning', '5 5'), ('22', 'Learning', '24 4'), ('22', 'Learning', '7 6'), ('22', 'Learning', '10 8'), ('22', 'Learning', '3 7'), ('22', 'Learning', '19 7'), ('22', 'Learning', '4 4'), ('22', 'Learning', '1 9'), ('22', 'Learning', '1 3'), ('22', 'Learning', '6'), ('Middle\nIndian', 'Learning', 'Latino Eastern\nSoutheast\nAsian'), ('Middle\nIndian', 'Learning', 'East\nAsian'), ('Middle\nIndian', 'Learning', '16 4'), ('Middle\nIndian', 'Learning', '14 4'), ('Middle\nIndian', 'Learning', '24 9'), ('Middle\nIndian', 'Learning', '5 5'), ('Middle\nIndian', 'Learning', '24 4'), ('Middle\nIndian', 'Learning', '7 6'), ('Middle\nIndian', 'Learning', '10 8'), ('Middle\nIndian', 'Learning', '3 7'), ('Middle\nIndian', 'Learning', '19 7'), ('Middle\nIndian', 'Learning', '4 4'), ('Middle\nIndian', 'Learning', '1 9'), ('Middle\nIndian', 'Learning', '1 3'), ('Middle\nIndian', 'Learning', '6'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', 'East\nAsian'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '16 4'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '14 4'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '24 9'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '5 5'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '24 4'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '7 6'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '10 8'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '3 7'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '19 7'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '4 4'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '1 9'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '1 3'), ('Latino Eastern\nSoutheast\nAsian', 'Learning', '6'), ('East\nAsian', 'Learning', '16 4'), ('East\nAsian', 'Learning', '14 4'), ('East\nAsian', 'Learning', '24 9'), ('East\nAsian', 'Learning', '5 5'), ('East\nAsian', 'Learning', '24 4'), ('East\nAsian', 'Learning', '7 6'), ('East\nAsian', 'Learning', '10 8'), ('East\nAsian', 'Learning', '3 7'), ('East\nAsian', 'Learning', '19 7'), ('East\nAsian', 'Learning', '4 4'), ('East\nAsian', 'Learning', '1 9'), ('East\nAsian', 'Learning', '1 3'), ('East\nAsian', 'Learning', '6'), ('16 4', 'Learning', '14 4'), ('16 4', 'Learning', '24 9'), ('16 4', 'Learning', '5 5'), ('16 4', 'Learning', '24 4'), ('16 4', 'Learning', '7 6'), ('16 4', 'Learning', '10 8'), ('16 4', 'Learning', '3 7'), ('16 4', 'Learning', '19 7'), ('16 4', 'Learning', '4 4'), ('16 4', 'Learning', '1 9'), ('16 4', 'Learning', '1 3'), ('16 4', 'Learning', '6'), ('14 4', 'Learning', '24 9'), ('14 4', 'Learning', '5 5'), ('14 4', 'Learning', '24 4'), ('14 4', 'Learning', '7 6'), ('14 4', 'Learning', '10 8'), ('14 4', 'Learning', '3 7'), ('14 4', 'Learning', '19 7'), ('14 4', 'Learning', '4 4'), ('14 4', 'Learning', '1 9'), ('14 4', 'Learning', '1 3'), ('14 4', 'Learning', '6'), ('24 9', 'Learning', '5 5'), ('24 9', 'Learning', '24 4'), ('24 9', 'Learning', '7 6'), ('24 9', 'Learning', '10 8'), ('24 9', 'Learning', '3 7'), ('24 9', 'Learning', '19 7'), ('24 9', 'Learning', '4 4'), ('24 9', 'Learning', '1 9'), ('24 9', 'Learning', '1 3'), ('24 9', 'Learning', '6'), ('5 5', 'Learning', '24 4'), ('5 5', 'Learning', '7 6'), ('5 5', 'Learning', '10 8'), ('5 5', 'Learning', '3 7'), ('5 5', 'Learning', '19 7'), ('5 5', 'Learning', '4 4'), ('5 5', 'Learning', '1 9'), ('5 5', 'Learning', '1 3'), ('5 5', 'Learning', '6'), ('24 4', 'Learning', '7 6'), ('24 4', 'Learning', '10 8'), ('24 4', 'Learning', '3 7'), ('24 4', 'Learning', '19 7'), ('24 4', 'Learning', '4 4'), ('24 4', 'Learning', '1 9'), ('24 4', 'Learning', '1 3'), ('24 4', 'Learning', '6'), ('7 6', 'Learning', '10 8'), ('7 6', 'Learning', '3 7'), ('7 6', 'Learning', '19 7'), ('7 6', 'Learning', '4 4'), ('7 6', 'Learning', '1 9'), ('7 6', 'Learning', '1 3'), ('7 6', 'Learning', '6'), ('10 8', 'Learning', '3 7'), ('10 8', 'Learning', '19 7'), ('10 8', 'Learning', '4 4'), ('10 8', 'Learning', '1 9'), ('10 8', 'Learning', '1 3'), ('10 8', 'Learning', '6'), ('3 7', 'Learning', '19 7'), ('3 7', 'Learning', '4 4'), ('3 7', 'Learning', '1 9'), ('3 7', 'Learning', '1 3'), ('3 7', 'Learning', '6'), ('19 7', 'Learning', '4 4'), ('19 7', 'Learning', '1 9'), ('19 7', 'Learning', '1 3'), ('19 7', 'Learning', '6'), ('4 4', 'Learning', '1 9'), ('4 4', 'Learning', '1 3'), ('4 4', 'Learning', '6'), ('1 9', 'Learning', '1 3'), ('1 9', 'Learning', '6'), ('1 3', 'Learning', '6')]"
Percent of images classiﬁed into crime-related and non-human categories by FairFace Race category.,Percent of images classi ed into crime related and non human categories by FairFace Race category,[]
"The label set included 7
FairFace race categories each for men and women (for a total of 14), as well as 3 crime-related categories and 4 non-human categories.

","The label set included 7
FairFace race categories each for men and women for a total of 14 as well as 3 crime related categories and 4 non human categories","[('7', 'included', 'FairFace'), ('7', 'included', '14'), ('7', 'included', '3'), ('7', 'included', '4'), ('FairFace', 'included', '14'), ('FairFace', 'included', '3'), ('FairFace', 'included', '4'), ('14', 'included', '3'), ('14', 'included', '4'), ('3', 'included', '4')]"
